"fraude" "toeslag" "friesland"
"1" 0 140.11 0
"2" 0 82.08 0
"3" 1 318.75 0
"4" 1 263 0
"5" 0 31.59 1
"6" 0 234.27 0
"7" 0 42.95 1
"8" 0 1.42 0
"9" 1 226.14 0
"10" 1 93.87 0
"11" 1 42.34 0
"12" 1 72.53 0
"13" 0 162.1 0
"14" 0 134.43 0
"15" 1 41.16 0
"16" 0 175.51 0
"17" 0 207.93 1
"18" 0 14.96 0
"19" 0 55.52 0
"20" 1 121.61 0
"21" 1 160.08 0
"22" 0 15.57 0
"23" 0 243.52 0
"24" 0 195.02 0
"25" 1 116.08 0
"26" 1 151.66 0
"27" 1 165.7 0
"28" 0 238.59 1
"29" 1 316.71 0
"30" 1 218.15 0
"31" 1 280.11 0
"32" 1 36.71 0
"33" 1 335.47 0
"34" 1 6.96 0
"35" 1 330.97 0
"36" 1 36.76 0
"37" 1 151.78 0
"38" 0 127.83 0
"39" 1 104.5 0
"40" 1 243.14 0
"41" 1 226.39 0
"42" 1 198.72 0
"43" 1 296.87 0
"44" 1 326.78 0
"45" 0 345.93 0
"46" 0 100.54 0
"47" 1 282.46 0
"48" 0 176.05 0
"49" 1 24.34 1
"50" 0 1.73 1
"51" 0 63.67 0
"52" 1 225.18 0
"53" 1 288.06 0
"54" 1 209.75 0
"55" 1 191.06 0
"56" 1 193.75 0
"57" 0 76.45 0
"58" 1 147.41 0
"59" 1 233.08 0
"60" 1 310.54 0
"61" 1 104.53 0
"62" 1 234.22 0
"63" 1 241.33 0
"64" 1 77.96 0
"65" 0 54.79 0
"66" 1 162.51 0
"67" 1 76.67 0
"68" 0 196.12 1
"69" 1 211.16 0
"70" 1 233.38 0
"71" 1 163.8 0
"72" 0 33.57 0
"73" 1 295.03 0
"74" 1 126.37 0
"75" 1 171.17 0
"76" 1 82.63 0
"77" 1 241.93 0
"78" 1 295.32 0
"79" 0 43.3 1
"80" 1 68.37 0
"81" 1 198.46 1
"82" 1 280.88 0
"83" 1 311.24 0
"84" 0 96.03 0
"85" 0 88.96 0
"86" 1 293.68 0
"87" 1 165.9 0
"88" 0 143.47 1
"89" 1 35.55 0
"90" 1 199.72 0
"91" 1 295.99 0
"92" 1 79.78 0
"93" 0 124.21 1
"94" 0 250.97 0
"95" 0 320.03 1
"96" 1 207.37 0
"97" 1 267.76 0
"98" 0 271.48 0
"99" 0 184.1 0
"100" 1 153.58 1
